fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
38.38,260,182,785,0,0,832,260,5.67
49.44,260,182,785,0,0,832,260,6.86
13.64,130,182,785,0,0,832,390,7.4
30.84,130,182,785,0,0,832,390,7.28
42.75,130,182,785,0,0,832,390,7.57
29.81,455,182,785,0,0,832,0,3.19
13.89,113.7,182,785,0,0,832,341.23,4.01
18.35,113.7,182,785,0,0,832,341.23,1.37
26.23,113.7,182,785,0,0,832,341.23,3.19
19.75,404,182,785,0,0,832,0,2.83
9.63,101,182,785,0,0,832,303,3.2
12.07,101,182,785,0,0,832,303,1.21
18.86,101,182,785,0,0,832,303,3.63
77.96,427.5,171,765,0,859.8,0,142.5,6.29
81.4,370.5,171,757.5,0,851.4,0,199.5,7
66.63,360,206.4,773.4,0,869.3,0,120,3.11
72.47,312,206.4,767.2,0,862.3,0,167,4.55
68.67,427.5,171,765,0,0,749.2,142.5,4.95
70.39,370.5,171,757.5,0,0,741.9,199.5,6.26
55.38,360,206.4,773.4,0,0,757.5,120,2.55
63.89,312,206.4,767.2,0,0,751.3,168,4.09
61.97,427.5,171,0,667,859.8,0,142.5,4.51
64.61,370.5,171,0,660.5,851.4,0,199.5,4.2
48.69,360,206.4,0,674.4,869.3,0,120,1.82
61.04,312,206.4,0,668.9,862.3,0,168,2.7
55.76,427.5,171,0,667,0,749.2,142.5,3.44
57.41,370.5,171,0,660.5,0,741.9,199.5,3.79
46.04,360,206.4,0,674.4,0,757.5,120,1.78
52.92,312,206.4,0,668.9,0,751.3,168,2.62
60.76,313.54,174.06,927.75,0,749.7,0,209.03,5.23
55.76,313.54,174.065,463.87,364.85,749.7,0,209.03,5.23
44.54,313.54,174.06,0,729.69,749.7,0,209.03,5.23
44.54,315.11,174.06,927.75,0,749.7,0,210.08,3.15
38.41,315.11,174.065,0,729.75,749.7,0,210.08,4.2
46,400,150,1200,0,530,0,100,3.5
38.99,400,167,1200,0,530,0,100,3.8
38.99,400,167,1200,0,530,0,100,3.8
36.7,400,167,900,300,530,0,100,3.8
32.8,400,167,600,600,530,0,100,3.8
29.6,400,167,300,900,530,0,100,3.8
24.8,400,167,0,1200,530,0,100,3.8
37,400,167,1200,0,397.5,132.5,100,3.8
33.51,400,167,1200,0,265,265,100,3.8
31.36,400,167,1200,0,132.5,397.5,100,3.8
25.83,400,167,1200,0,0,530,100,3.8
38,380,167,900,300,530,0,100,3.8
39.6,370,167,900,300,530,0,100,3.8
42.1,360,167,900,300,530,0,100,3.8
38.7,380,167,1200,0,397.5,132.5,100,3.8
40.3,370,167,1200,0,397.5,132.5,100,3.8
42,360,167,1200,0,397.5,132.5,100,3.8
50.4,160,180,323,321.5,667,0,240.5,4.44
24.5,160,180,329,329,667,0,240.5,3.7
25,160,180,319,320,667,0,240.5,3.7
22.3,160,180,325,319,667,0,240.5,2.96
25.3,160,180,320,328,667,0,240.5,2.96
24.1,160,180,317,325,667,0,240.5,2.96
23.4,160,180,330,332,667,0,240.5,2.96
19,160,180,325,320,667,0,240.5,2.96
25.7,160,180,322,326,667,0,240.5,2.96
34.6,375,187.5,795,0,970,0,0,1.5
33.7,375,187.5,795,0,970,0,0,1.5
36.2,375,187.5,795,0,970,0,0,1.5
32,375,187.5,795,0,970,0,0,1.5
35,375,187.5,795,0,700,235,0,1.5
34.1,375,187.5,795,0,460,460,0,1.5
34.7,375,187.5,795,0,460,460,0,1.5
31.8,375,187.5,795,0,460,460,0,1.5
31.6,375,187.5,795,0,220,670,0,1.5
31.3,375,187.5,795,0,0,670,0,1.5
30.7,375,187.5,795,0,460,460,0,1.5
32,375,187.5,795,0,460,460,0,1.5
28.6,375,187.5,795,0,460,460,0,1.5
59.3,450,171,780,0,955,0,0,4.5
62,450,171,780,0,955,0,0,4.5
61.1,450,171,780,0,955,0,0,4.5
60.1,450,171,780,0,715,240,0,4.5
58.8,450,171,780,0,715,240,0,4.5
57,450,171,780,0,460,460,0,4.5
58.6,450,171,780,0,460,460,0,4.5
56,450,171,780,0,460,460,0,4.5
57.2,450,171,780,0,220,670,0,4.5
58.1,450,171,780,0,220,670,0,4.5
55.3,450,171,780,0,220,670,0,4.5
55.4,450,171,780,0,0,870,0,4.5
54,450,171,780,0,0,870,0,4.5
37.9,350,176,887,0,791,0,140,7
40,350,176,887,0,791,0,140,8.75
41.3,350,176,887,0,0,791,140,10.5
42,350,176,887,0,0,791,140,12.25
39.9,420,210,1170,0,292,0,200,7
39,420,210,1170,0,292,0,200,8.75
42,420,210,1170,0,0,292,200,10.5
47.1,420,210,1170,0,0,292,200,12.25
65.8,321,149.5,806,0,854,0,214,4.28
53.3,321,149.5,605,160,854,0,214,4.28
61.5,321,149.5,605,160,854,0,214,4.28
60.5,321,149.5,403,321,854,0,214,4.28
54.8,321,149.5,202,482,854,0,214,4.28
50.8,321,149.5,0,642,854,0,214,4.28
44.9,300,185,1100,0,530,0,165,4.5
40.7,300,210,550,505,530,0,165,4.5
28.1,300,235,0,1010,530,0,165,4.5
45.6,300,185,940,0,530,0,335,4.5
42.2,300,210,475,435,530,0,335,4.5
28.5,300,235,865,0,530,0,335,4.5
35.9,300,200,0,940,530,0,305,4.5
28.9,300,220,435,475,530,0,305,4.5
15.6,300,245,865,0,530,0,305,4.5
73.8,635,247,847,0,565,0,71,0
64.4,635,247,847,0,0,565,71,0
56,635,247,847,0,0,565,71,0
67.4,635,247,847,0,0,565,71,0
54.2,284.9,159.3,730.7,0,807.5,0,370.2,3.12
53.9,284.9,159.3,730.7,0,726.8,74.9,370.2,3.12
53.7,284.9,159.5,730.7,0,646,149.8,370.2,3.12
